Navn,Kcal,Kategori
"Svin, bacon med svor, rå",339,kjøtt
"Svin, bogstek, kjøtt uten fettrand, rå",144,kjøtt
"Svin, bogstek, med fettrand, rå",220,kjøtt
"Svin, familieribbe, rå",328,kjøtt
"Svin, fettrand, rå",741,kjøtt
"Svin, flatbiff, rå",103,kjøtt
"Svin, grillben, rå",247,kjøtt
"Svin, indrefilet, rå",116,kjøtt
"Svin, kjøtt fra knoke, rå",151,kjøtt
"Svin, kotelett, kam, svinekotelett, uten fettrand, rå",168,kjøtt
"Svin, kotelett, kam, svinekoteletter, inntil 5 mm fettrand, rå",243,kjøtt
"Svin, midtribbe, med kam og svor, rå",328,kjøtt
"Svin, mørbrad, rå",215,kjøtt
"Svin, nakkekoteletter, rå",225,kjøtt
"Svin, sideflesk, lettsaltet, rå",301,kjøtt
"Svin, sideflesk, uten ben, rå",384,kjøtt
"Svin, skinke, med knoke, rå",219,kjøtt
"Svin, skinkestek med fettrand, uten svor, rå",221,kjøtt
"Svin, skinkestek, rå",130,kjøtt
"Svin, tynnribbe, med svor, rå",371,kjøtt
"Svin, ytrefilet, rå",110,kjøtt
"Svin, bacon med svor, stekt",452,kjøtt
"Svin, familieribbe, stekt",468,kjøtt
"Svin, flatbiff, stekt",138,kjøtt
"Svin, koteletter, kam med fettrand, stekt",348,kjøtt
"Svin, koteletter, kam uten fettrand, stekt",240,kjøtt
"Svin, nakkekoteletter, stekt",321,kjøtt
"Svin, sideflesk, lettsaltet, stekt",451,kjøtt
"Svin, stek uten fettrand, ovnsstekt",186,kjøtt
"Svin, stek, med fettrand, ovnsstekt",313,kjøtt
"Blod, okse, rå",77,kjøttdeig mm.
"Elg, ytterlår, stek, rå",100,kjøttdeig mm.
"Hamburger, rå",167,kjøttdeig mm.
"Hare, kjøtt, rå",129,kjøttdeig mm.
"Hjerte, rå",107,kjøttdeig mm.
"Hjort, stek, rå",98,kjøttdeig mm.
"Hval, kjøtt, rå",120,kjøttdeig mm.
"Kanin, kjøtt, rå",124,kjøttdeig mm.
"Karbonadedeig, rå",103,kjøttdeig mm.
"Karbonadedeig, stekt uten fett",193,kjøttdeig mm.
"Kjøttdeig, kylling, rå",145,kjøttdeig mm.
"Kjøttdeig, storfe, stekt uten fett",288,kjøttdeig mm.
"Kjøttdeig, storfe, med salt og vann, rå",185,kjøttdeig mm.
"Kjøttdeig, storfe, uten salt og vann, rå",196,kjøttdeig mm.
"Kjøttdeig, svin, rå",144,kjøttdeig mm.
"Kjøttdeig, svin, stekt uten fett",202,kjøttdeig mm.
"Kjøttfarse, rå",165,kjøttdeig mm.
"Lever, kylling, rå",113,kjøttdeig mm.
"Lever, lam, rå",128,kjøttdeig mm.
"Lever, rein, rå",128,kjøttdeig mm.
"Lever, storfe, rå",124,kjøttdeig mm.
"Lever, svin, rå",120,kjøttdeig mm.
"Medisterdeig, rå",206,kjøttdeig mm.
"Reinsdyr, bog, stek, rå",118,kjøttdeig mm.
"Rådyr, kjøtt, rå",95,kjøttdeig mm.
"Villsvin, kjøtt, rå",105,kjøttdeig mm.
"Wienersnitzel, rå",244,kjøttdeig mm.
Blodpudding,369,kjøtt
"Bogskinke, hermetisk",135,kjøtt
"Elg, stek, ovnsstekt",143,kjøtt
"Kjøttboller, hermetisk",138,kjøtt
"Kjøttkaker, stekt",199,kjøtt
"Lungemos, kjøpt",120,kjøtt
"Reinsdyr, kjøtt, røkt",114,kjøtt
"Reinsdyr, kjøtt, tørket, rå",318,kjøtt
"Reinsdyrkaker, hermetisk",151,kjøtt
"Reinsdyrskav, fryst, rå",145,kjøtt
"Chorizo, pølse",360,pølse
Falukorv,257,pølse
Fleskepølse,366,pølse
Fårepølse,339,pølse
Grillpølse,261,pølse
"Grillpølse, kalkun og kylling",193,pølse
"Grillpølse, med mindre fett",161,pølse
"Kjøttpølse, med mindre fett",191,pølse
"Kjøttpølse, røkt/urøkt",209,pølse
Knakkpølse,256,pølse
"Kylling- og kalkunpølse, med mindre fett",168,pølse
"Kylling- og kalkunpølse, med ost",201,pølse
"Medisterpølse, røkt/urøkt, kokt",265,pølse
"Ostegrill, ostewiener",245,pølse
Reinsdyrpølse,426,pølse
"Salsiccia, italiensk pølse",271,pølse
"Sosisser, små pølser",258,pølse
Wienerpølse,256,pølse
"Wienerpølse, med mindre fett",160,pølse
"Bayonneskinke, kokt",228,kjøtt/pålegg
"Kalkunfilet, naturell/røkt",88,kjøtt/pålegg
"Kalkunrull, krydderskinke",100,kjøtt/pålegg
Kalverull,144,kjøtt/pålegg
"Karbonader, okse, rå",206,kjøtt/pålegg
"Karbonader, okse, stekt",223,kjøtt/pålegg
"Kjøttpudding, stekt",194,kjøtt/pålegg
Kokt skinke,95,kjøtt/pålegg
"Kokt skinke, First Price",104,kjøtt/pålegg
"Kokt skinke, Gilde",100,kjøtt/pålegg
"Kokt skinke, Nordfjord",80,kjøtt/pålegg
Kyllingpostei,134,kjøtt/pålegg
"Kyllingpostei, hermetisk, Stabburet",130,kjøtt/pålegg
"Kyllingpostei, ovnsbakt, Prior",139,kjøtt/pålegg
"Leverpostei, hermetisk",257,kjøtt/pålegg
"Leverpostei, hermetisk, First Price",278,kjøtt/pålegg
"Leverpostei, hermetisk, Stabburet",237,kjøtt/pålegg
"Leverpostei, ovnsbakt",231,kjøtt/pålegg
"Leverpostei, ovnsbakt, Gilde",217,kjøtt/pålegg
"Leverpostei, ovnsbakt, Mills",246,kjøtt/pålegg
"Medisterkaker, stekt",321,kjøtt/pålegg
Morrpølse,417,kjøtt/pålegg
Okserull,166,kjøtt/pålegg
"Ribberull, skiver",193,kjøtt/pålegg
"Roastbiff, skiver",129,kjøtt/pålegg
Salami,429,kjøtt/pålegg
"Salami, dansk, First Price",507,kjøtt/pålegg
"Salami, dansk, Tulip",498,kjøtt/pålegg
"Salami, Gilde spesialsalami",298,kjøtt/pålegg
"Salami, Grilstad jubelsalami",414,kjøtt/pålegg
"Salami, mager, Gilde",167,kjøtt/pålegg
Servelat,198,kjøtt/pålegg
"Servelat, Folkets",197,kjøtt/pålegg
"Servelat, mager, Gilde",145,kjøtt/pålegg
"Servelat, Nordfjord",181,kjøtt/pålegg
"Servelat, X-tra",216,kjøtt/pålegg
"Skinkerull, Westfalerskinke",286,kjøtt/pålegg
Spekeskinke,203,kjøtt/pålegg
"Spekeskinke, Gilde",203,kjøtt/pålegg
"Spekeskinke, Strandaskinke, Grilstad",202,kjøtt/pålegg
Stabburpølse,475,kjøtt/pålegg
"Svinekam, røkt",209,kjøtt/pålegg
Sylte,304,kjøtt/pålegg
"Blåkveite, rå/kaldrøkt",155,Fisk
"Brisling, rå",208,Fisk
"Havål, rå",119,Fisk
"Kveite, hellefisk, oppdrett, rå",102,Fisk
"Kveite, hellefisk, rå",123,Fisk
"Kveite, hellefisk, skiver, røkt, rå",211,Fisk
"Kveite, hellefisk, uspesifisert, rå",113,Fisk
"Laks, oppdrett, rå",224,Fisk
"Laks, vill, rå",182,Fisk
"Makrell, mai-juni, rå",123,Fisk
"Makrell, vill (høst), rå",293,Fisk
"Pigghå, håbrann, rå",129,Fisk
"Røye, rå",128,Fisk
"Sild, fetsild, sommersild, rå",293,Fisk
"Sild, storsild, vintersild, rå",187,Fisk
"Ørret, oppdrett, rå",166,Fisk
"Ørret, sjøørret, rå",110,Fisk
"Ål, rå",362,Fisk
"Kveite, filet, melpanert, stekt i fett",198,Fisk
"Kveite, skiver, kokt",146,Fisk
"Laks, filet, gravet",179,Fisk
"Laks, filet, ovnsstekt",243,Fisk
"Laks, filet, stekt i panne",263,Fisk
"Laks, oppdrett, skiver, kokt",266,Fisk
"Laks, oppdrett, skiver, stekt i fett",314,Fisk
"Laks, røkt",225,Fisk
"Laks, vill, kokt",217,Fisk
"Makrell, juli-sept (fet), kokt",349,Fisk
"Makrell, juli-sept (fet), stekt i fett",393,Fisk
"Makrell, kaldrøkt",242,Fisk
"Makrell, mai-juni, kokt",146,Fisk
"Makrell, mai-juni, stekt i fett",198,Fisk
"Makrell, varmrøkt",295,Fisk
"Røye, melpanert, stekt i fett",204,Fisk
"Røye, stekt uten fett",151,Fisk
"Sild, fetsild/sommersild, kokt",349,Fisk
"Sild, fetsild/sommersild, melpanert, stekt i fett",402,Fisk
"Sild, kryddersild",154,Fisk
"Sild, røkt, bøkling",200,Fisk
"Sild, storsild/vintersild, kokt",223,Fisk
"Sild, storsild/vintersild, melpanert, stekt i fett",280,Fisk
"Spekesild, utvannet",210,Fisk
"Ørret, filet, røkt",142,Fisk
"Ørret, oppdrett, kokt",197,Fisk
"Ørret, oppdrett, skiver, melpanert, stekt i fett",247,Fisk
"Ørret, sjøørret, kokt",130,Fisk
"Ørret, sjøørret, melpanert, stekt i fett",182,Fisk
"Ål, røkt",351,Fisk
"Alaska pollock, rå",72,Fisk
"Blålange, rå",64,Fisk
"Breiflabb, rå",64,Fisk
"Brosme, rå",66,Fisk
"Gjedde, rå",83,Fisk
"Horngjel, rå",107,Fisk
"Hvitting, rå",79,Fisk
"Hyse, kolje, røkt, skiver, rå",81,Fisk
"Hyse, kolje, rå",68,Fisk
"Håbrann, rå",85,Fisk
"Lange, rå",72,Fisk
"Lomre, rå",67,Fisk
"Lyr, rå",66,Fisk
"Pangasius, rå",63,Fisk
"Piggvar, rå",85,Fisk
"Rødspette, rå",91,Fisk
"Sei, rå",69,Fisk
"Sik, rå",89,Fisk
"Sjøtunge, rå",64,Fisk
"Skate, rå",58,Fisk
"Steinbit, rå",97,Fisk
"Torsk, i skiver, rå",75,Fisk
"Torsk, lettsaltet i skiver, rå",75,Fisk
"Torsk, oppdrett, rå",84,Fisk
"Torsk, uspesifisert, rå",81,Fisk
"Torsk, vill, rå",81,Fisk
"Tunfisk, makrellstørje, rå",105,Fisk
"Uer, lettsaltet, rå",94,Fisk
"Uer, rå",94,Fisk
"Åbor, abbor, rå",85,Fisk
"Breiflabb, filet, kokt",83,Fisk
"Hyse, kolje, kokt",89,Fisk
"Hyse, kolje, røkt, skiver, kokt",106,Fisk
"Klippfisk, saltet og tørket",271,Fisk
"Lutefisk, kokt",71,Fisk
"Lutefisk, tørr vare, rå",50,Fisk
"Rødspette, filet, kavringpanert, rå",150,Fisk
"Rødspette, filet, kavringpanert, stekt i fett",220,Fisk
"Rødspette, filet, kokt",118,Fisk
"Rødspette, filet, melpanert, stekt i fett",160,Fisk
"Rødspette, fylt, forfritert, fryst",205,Fisk
"Rødspette, panert, forfritert, fylt, ovnsstekt uten fett",216,Fisk
"Rødspette, panert, forfritert, fylt, stekt i fett",262,Fisk
"Sei, filet, kavringpanert, rå",135,Fisk
"Sei, filet, kavringpanert, stekt i fett",174,Fisk
"Sei, filet, melpanert, stekt i fett",132,Fisk
"Sei, filet, melpanert, stekt i hard margarin",129,Fisk
"Sei, filet, melpanert, stekt i myk margarin",125,Fisk
"Sei, filet, melpanert, stekt i smør",130,Fisk
"Sei, filet, melpanert, stekt i soyaolje",137,Fisk
"Sei, kokt",89,Fisk
"Sei, panert, fryst, First Price",189,Fisk
"Sei, panert, fryst, kjøpt",182,Fisk
"Sei, pankopanert, fryst, Lerøy",175,Fisk
"Seibiff, melpanert, med forstekt løk, fryst, kjøpt",103,Fisk
"Seibiff, melpanert, med forstekt løk, kjøpt, stekt i fett",151,Fisk
"Steinbit, filet, melpanert, stekt i fett",159,Fisk
"Steinbit, kokt",126,Fisk
"Torsk, filet, kavringpanert, rå",143,Fisk
"Torsk, filet, kavringpanert, stekt i fett",202,Fisk
"Torsk, filet, kokt",106,Fisk
"Torsk, filet, melpanert, stekt i fett",146,Fisk
"Torsk, filet, ovnsstekt",113,Fisk
"Torsk, filet, stekt i panne",113,Fisk
"Torsk, forfritert, fylt, fryst",143,Fisk
"Torsk, lettsaltet, kokt",98,Fisk
"Torsk, panert, Findus Steketorsk",135,Fisk
"Torsk, panert, forfritert, fylt, ovnsstekt uten fett",151,Fisk
"Torsk, panert, forfritert, fylt, stekt i fett",201,Fisk
"Torsk, panert, forfritert, ovnsstekt uten fett",151,Fisk
"Torsk, panert, forfritert, stekt i fett",202,Fisk
"Torsk, skiver, kokt",94,Fisk
Tørrfisk,327,Fisk
"Uer, kokt",121,Fisk
"Uer, lettsaltet, skiver, kokt",121,Fisk
"Ansjos, hermetisk",216,Fisk
"Brisling, i olje, avrent, hermetisk",261,Fisk
"Brisling, i tomat, hermetisk",203,Fisk
"Fiskeboller, avrent, hermetisk",60,Fisk
"Fiskeboller, kjølevare",68,Fisk
"Fiskeburger, panert, med brød, ost, saus, kjøpt",242,Fisk
"Fiskefarse, mager fisk, rå",62,Fisk
"Fiskekaker, Coop",123,Fisk
"Fiskekaker, Fiskemannen",96,Fisk
"Fiskekaker, Godehav",110,Fisk
"Fiskekaker, kjøpt",110,Fisk
"Fiskekaker, Lofoten",110,Fisk
"Fiskekarbonader, Berggren",116,Fisk
"Fiskekarbonader, Fiskemannen",89,Fisk
"Fiskekarbonader, Godehav",115,Fisk
"Fiskekarbonader, kjøpt",107,Fisk
"Fiskekarbonader, laks",240,Fisk
"Fiskekarbonader, mager fisk",150,Fisk
"Fiskekarbonader, makrell",226,Fisk
"Fiskekarbonader, sei",149,Fisk
"Fiskekarbonader, sild",253,Fisk
"Fiskepaté, laks",231,Fisk
"Fiskepaté, mager fisk",146,Fisk
Fiskepudding,72,Fisk
"Fiskepudding, fløtepudding",102,Fisk
"Gaffelbiter, sild, hermetisk",240,Fisk
"Kaviar, av lodderogn",109,Fisk
"Kaviar, av torskerogn",413,Fisk
Kaviarmix,542,Fisk
"Kryddersild, innlagt, avrent",224,Fisk
"Laksepålegg, 70 % laks, i beger, Stabbur-Laks",213,Fisk
"Makrellfilet, i tomat, 50 % makrell, i beger",177,Fisk
"Makrellfilet, i tomat, 60 % makrell, hermetisk",241,Fisk
"Makrellfilet, i tomat, 70 % makrell, hermetisk",253,Fisk
"Rogn, torsk, presset, hermetisk",125,Fisk
"Rognleverpostei, Svolvær-/Lofotpostei",408,Fisk
"Seilaks, i olje, avrent",159,Fisk
"Sild, marinert, i majones/rømme",309,Fisk
"Sild, marinert, sennepssild",250,Fisk
"Surimi, LobNobs",91,Fisk
"Sild, sursild, innlagt, avrent",190,Fisk
"Tunfisk, i gele, hermetisk",70,Fisk
"Tunfisk, i olje, avrent, hermetisk",259,Fisk
"Tunfisk, i olje, ikke avrent, hermetisk",211,Fisk
"Tunfisk, i vann, avrent, hermetisk",105,Fisk
"Akkar, innbakt, forfritert, fryst",212,Fisk
"Akkar, tiarmet blekksprut, kokt",150,Fisk
"Fiskegrateng, Coop X-tra Fiskegrateng",117,Fisk
"Fiskegrateng, Enghav Fiskegrateng med makaroni",118,Fisk
"Fiskegrateng, Findus Familiens fiskegrateng",135,Fisk
"Fiskegrateng, First Price Fiskegrateng med makaroni",109,Fisk
"Fiskegrateng, kjøpt",119,Fisk
"Fiskegrateng, med egg og makaroni, ovnsstekt",160,Fisk
"Fiskegrateng, med egg, ovnsstekt, kjøpt",115,Fisk
"Fiskegrateng, med egg, ovnsstekt",156,Fisk
"Fiskegryte, med sei, løk og paprikasaus",98,Fisk
"Fiskegryte, med torsk og tomat",83,Fisk
"Fiskepinner, Findus",180,Fisk
"Fiskepinner, forfritert, stekt i fett",241,Fisk
"Fiskepinner, forfritert, stekt i hard margarin",194,Fisk
"Fiskepinner, forfritert, stekt i matolje",198,Fisk
"Fiskepinner, forfritert, stekt i myk margarin",195,Fisk
"Fiskepinner, forfritert, stekt i smør",240,Fisk
"Fiskesuppe, med laks, fryst",65,Fisk
"Fiskesuppe, med mager fisk",45,Fisk
"Fiskesuppe, med mager fisk, fryst",124,Fisk
"Fiskesuppe, med mager fisk, jevnet",48,Fisk
"Kabaret, med fiskepudding og reker",47,Fisk
"Reker, innbakt, forfritert, fryst",225,Fisk
"Reker, innbakt, forfritert, stekt i soyaolje",291,Fisk
"Rogn, torsk, hermetisk, stekt i fett",230,Fisk
"Sashimi, kveite",113,Fisk
"Sashimi, laks",224,Fisk
"Sashimi, tunfisk",105,Fisk
"Sildesalat, med potet",77,Fisk
"Sushi, maki, kveite",116,Fisk
"Sushi, maki, laks",134,Fisk
"Sushi, maki, tunfisk",115,Fisk
"Sushi, nigiri, kveite",114,Fisk
"Sushi, nigiri, laks",147,Fisk
"Sushi, nigiri, tunfisk",112,Fisk
"Akkar, innbakt, forfritert, stekt i soyaolje",278,Fisk
"Akkar, tiarmet blekksprut, rå",77,Fisk
"Blåskjell, avrent, hermetisk",103,Fisk
"Blåskjell, rå",54,Fisk
"Hummer, kokt",66,Fisk
"Kamskjell, kokt",102,Fisk
"Kamskjell, rå",81,Fisk
"Kongereke, rå",77,Fisk
"Krabbe, kokt",108,Fisk
"Krabbe, naturell, hermetisk",108,Fisk
"Krabbepinner, crabsticks, fryst",103,Fisk
"Kreps, kokt",54,Fisk
"Lever, torsk, rå",553,Fisk
"Reker, i lake, avrent",58,Fisk
"Reker, kokt",100,Fisk
"Rogn, torsk, kokt",126,Fisk
"Rogn, torsk, rå",116,Fisk
"Snegler, hermetisk",77,Fisk
"Strandsnegle, norsk",87,Fisk
"Østers, rå",59,Fisk
"Amaranth, tørr",367,Korn/nøtter
"Bokhvetemel, lyst",353,Korn/nøtter
Byggmel,302,Korn/nøtter
Finbakstmel,345,Korn/nøtter
"Grovbakstmel, 40 % sammalt",323,Korn/nøtter
Havrekli,361,Korn/nøtter
Havremel,373,Korn/nøtter
Hvetekim,330,Korn/nøtter
Hvetekli,294,Korn/nøtter
"Hvetemel, sammalt, fint/grovt",319,Korn/nøtter
"Hvetemel, siktet",352,Korn/nøtter
